"Subject","inversion","phase","accuracy"
"106","upright",3,1
"106","upright",6,1
"106","inverted",3,0
"106","upright",5,1
"106","inverted",7,1
"106","upright",5,0
"106","inverted",4,0
"106","inverted",6,1
"106","upright",1,1
"106","upright",4,1
"106","upright",7,1
"106","upright",4,1
"106","inverted",2,0
"106","upright",2,1
"106","inverted",2,0
"106","inverted",2,0
"106","inverted",5,1
"106","inverted",3,1
"106","upright",5,1
"106","inverted",6,1
"106","upright",1,0
"106","inverted",1,0
"106","inverted",5,1
"106","upright",2,1
"106","inverted",5,1
"106","upright",3,1
"106","upright",2,0
"106","upright",6,1
"106","inverted",7,1
"106","inverted",4,1
"106","inverted",4,1
"106","upright",7,1
"106","inverted",1,0
"106","upright",6,1
"106","inverted",1,1
"106","inverted",6,1
"106","upright",3,1
"106","upright",1,0
"106","upright",7,1
"106","upright",4,1
"106","inverted",3,1
"106","upright",7,1
"106","inverted",7,1
"106","upright",6,1
"106","inverted",3,1
"106","upright",1,1
"106","upright",1,0
"106","upright",4,1
"106","inverted",1,1
"106","upright",2,0
"106","upright",6,1
"106","upright",2,0
"106","upright",3,1
"106","inverted",2,0
"106","upright",5,1
"106","inverted",5,0
"106","inverted",3,0
"106","inverted",7,1
"106","upright",4,1
"106","upright",3,1
"106","inverted",6,1
"106","upright",5,1
"106","upright",1,0
"106","inverted",3,1
"106","upright",6,1
"106","upright",7,1
"106","upright",7,1
"106","inverted",5,1
"106","inverted",5,1
"106","upright",4,1
"106","upright",5,1
"106","inverted",4,1
"106","inverted",1,1
"106","inverted",2,0
"106","upright",2,0
"106","inverted",6,0
"106","inverted",2,0
"106","inverted",1,0
"106","inverted",7,0
"106","inverted",4,0
"106","inverted",4,0
"106","inverted",6,1
"106","upright",3,1
"106","upright",7,1
"106","inverted",4,1
"106","inverted",6,1
"106","upright",4,1
"106","inverted",5,1
"106","inverted",5,1
"106","upright",2,1
"106","upright",2,1
"106","upright",5,1
"106","inverted",5,1
"106","upright",4,1
"106","upright",6,1
"106","inverted",1,0
"106","inverted",7,0
"106","inverted",1,0
"106","upright",3,1
"106","inverted",7,1
"106","inverted",3,1
"106","inverted",1,0
"106","upright",5,1
"106","upright",7,1
"106","inverted",6,0
"106","inverted",7,1
"106","inverted",2,0
"106","upright",3,0
"106","upright",6,1
"106","inverted",4,1
"106","upright",1,0
"106","upright",1,0
"106","inverted",2,0
"106","upright",4,1
"106","upright",6,1
"106","inverted",6,1
"106","upright",2,0
"106","inverted",3,1
"106","upright",5,1
"106","upright",7,0
"106","inverted",3,0
"106","inverted",4,1
"106","upright",1,1
"106","upright",3,1
"106","inverted",2,0
"106","upright",6,1
"106","inverted",5,1
"106","upright",3,1
"106","upright",5,1
"106","inverted",4,1
"106","upright",3,1
"106","inverted",3,1
"106","inverted",2,0
"106","inverted",7,1
"106","inverted",4,1
"106","inverted",5,1
"106","upright",2,0
"106","upright",4,1
"106","upright",2,1
"106","upright",5,1
"106","upright",1,0
"106","upright",1,0
"106","inverted",2,1
"106","inverted",6,1
"106","inverted",1,0
"106","upright",6,1
"106","inverted",2,1
"106","inverted",4,1
"106","inverted",6,1
"106","upright",4,1
"106","inverted",3,0
"106","upright",5,1
"106","upright",7,1
"106","inverted",5,1
"106","upright",2,0
"106","inverted",7,1
"106","inverted",6,1
"106","inverted",7,0
"106","upright",6,1
"106","upright",7,1
"106","inverted",1,0
"106","inverted",3,0
"106","upright",3,1
"106","upright",1,0
"106","upright",7,1
"106","inverted",1,1
"106","upright",4,1
"106","inverted",6,1
"106","inverted",6,1
"106","inverted",7,1
"106","inverted",5,1
"106","upright",6,1
"106","inverted",2,1
"106","inverted",4,1
"106","upright",4,1
"106","upright",5,1
"106","upright",3,1
"106","inverted",1,1
"106","upright",6,1
"106","upright",1,1
"106","upright",7,1
"106","inverted",7,1
"106","inverted",3,0
"106","upright",7,1
"106","inverted",4,1
"106","inverted",5,1
"106","inverted",1,0
"106","inverted",3,1
"106","upright",5,1
"106","inverted",3,0
"106","upright",1,0
"106","upright",2,0
"106","inverted",5,1
"106","upright",1,0
"106","inverted",4,1
"106","upright",6,1
"106","inverted",2,0
"106","upright",2,0
"106","inverted",6,1
"106","upright",5,1
"106","upright",4,1
"106","inverted",1,0
"106","inverted",7,1
"106","upright",2,0
"106","upright",4,0
"106","upright",7,1
"106","inverted",2,0
"106","upright",3,1
"106","upright",3,1
"106","inverted",5,0
"106","inverted",6,1
"106","upright",4,1
"106","upright",3,1
"106","inverted",1,1
"106","inverted",5,1
"106","upright",5,1
"106","upright",4,1
"106","upright",7,1
"106","upright",7,1
"106","upright",3,1
"106","upright",5,1
"106","inverted",6,1
"106","upright",5,1
"106","inverted",5,1
"106","inverted",4,1
"106","upright",2,0
"106","inverted",7,1
"106","inverted",1,0
"106","inverted",1,0
"106","inverted",3,1
"106","upright",3,1
"106","inverted",4,1
"106","inverted",4,0
"106","upright",1,1
"106","inverted",2,0
"106","inverted",6,1
"106","upright",4,1
"106","inverted",2,1
"106","upright",2,0
"106","inverted",7,0
"106","inverted",3,0
"106","inverted",2,1
"106","upright",6,1
"106","upright",6,1
"106","upright",7,1
"106","upright",1,0
"106","upright",6,1
"106","upright",1,1
"106","upright",2,0
"106","inverted",3,0
"106","inverted",7,0
"106","inverted",4,1
"106","upright",1,0
"106","upright",5,1
"106","inverted",2,0
"106","inverted",6,1
"106","inverted",5,1
"106","inverted",3,0
"106","upright",5,1
"106","inverted",6,1
"106","inverted",2,0
"106","inverted",1,1
"106","inverted",3,1
"106","inverted",1,0
"106","upright",6,1
"106","inverted",7,1
"106","upright",2,0
"106","inverted",6,1
"106","upright",1,1
"106","upright",1,0
"106","upright",4,1
"106","upright",6,1
"106","inverted",1,0
"106","upright",3,1
"106","inverted",3,1
"106","upright",4,1
"106","upright",4,1
"106","inverted",7,1
"106","inverted",5,1
"106","inverted",7,1
"106","upright",7,1
"106","inverted",2,0
"106","upright",2,0
"106","upright",2,0
"106","upright",3,1
"106","upright",5,1
"106","upright",3,1
"106","inverted",4,1
"106","inverted",5,1
"106","inverted",4,0
"106","upright",7,1
"106","upright",6,1
"106","inverted",4,1
"106","inverted",3,0
"106","inverted",7,1
"106","upright",7,1
"106","upright",7,1
"106","upright",5,1
"106","upright",3,1
"106","upright",4,1
"106","inverted",2,0
"106","inverted",6,1
"106","upright",4,1
"106","upright",7,1
"106","inverted",5,1
"106","inverted",5,1
"106","upright",3,1
"106","upright",1,1
"106","upright",5,1
"106","upright",3,1
"106","inverted",3,1
"106","inverted",4,1
"106","upright",2,1
"106","inverted",3,1
"106","upright",6,1
"106","upright",1,0
"106","upright",2,0
"106","inverted",6,1
"106","inverted",2,0
"106","inverted",7,0
"106","inverted",1,0
"106","inverted",5,1
"106","upright",4,1
"106","inverted",7,0
"106","inverted",6,1
"106","inverted",2,0
"106","inverted",1,0
"106","upright",2,0
"106","inverted",1,1
"106","inverted",4,0
"106","upright",6,1
"106","upright",5,1
"106","upright",1,0
"106","upright",6,1
"106","upright",2,0
"106","upright",5,1
"106","upright",5,1
"106","upright",2,1
"106","upright",4,1
"106","inverted",1,0
"106","inverted",6,1
"106","inverted",6,1
"106","upright",3,1
"106","upright",5,1
"106","inverted",4,1
"106","upright",1,0
"106","inverted",2,0
"106","upright",4,1
"106","upright",2,0
"106","inverted",7,1
"106","upright",4,0
"106","upright",6,1
"106","inverted",6,1
"106","upright",7,1
"106","inverted",4,1
"106","inverted",4,1
"106","inverted",1,0
"106","inverted",2,0
"106","inverted",3,0
"106","inverted",5,1
"106","inverted",3,1
"106","inverted",7,1
"106","upright",7,1
"106","upright",1,0
"106","inverted",2,1
"106","upright",6,0
"106","inverted",5,1
"106","inverted",3,1
"106","upright",3,1
"106","upright",3,1
"106","upright",6,1
"106","inverted",1,0
"106","upright",7,1
"106","inverted",5,1
"106","upright",1,1
"106","inverted",7,1
"106","upright",3,1
"106","inverted",4,0
"106","inverted",1,0
"106","upright",6,1
"106","upright",4,1
"106","upright",7,1
"106","inverted",3,1
"106","inverted",1,0
"106","inverted",3,0
"106","inverted",5,1
"106","inverted",1,0
"106","upright",5,1
"106","upright",1,0
"106","upright",1,1
"106","upright",2,0
"106","inverted",6,1
"106","upright",2,1
"106","inverted",2,1
"106","upright",3,1
"106","inverted",4,1
"106","inverted",5,1
"106","inverted",4,0
"106","upright",5,1
"106","inverted",3,0
"106","inverted",2,0
"106","inverted",6,0
"106","upright",7,1
"106","upright",2,0
"106","upright",3,0
"106","upright",7,1
"106","upright",4,1
"106","inverted",7,1
"106","upright",1,0
"106","upright",4,0
"106","inverted",7,1
"106","upright",6,1
"106","upright",5,1
"106","inverted",6,1
"106","inverted",7,1
"106","inverted",5,1
"106","upright",6,1
"106","inverted",2,1
"106","inverted",5,1
"106","upright",2,1
"106","upright",4,1
"106","upright",6,1
"106","upright",1,0
"106","inverted",7,1
"106","inverted",5,1
"106","upright",2,1
"106","inverted",1,0
"106","upright",2,0
"106","upright",3,1
"106","upright",5,1
"106","upright",6,1
"106","upright",3,1
"106","upright",7,1
"106","inverted",4,1
"106","upright",1,1
"106","upright",7,1
"106","inverted",3,0
"106","inverted",3,1
"106","inverted",2,1
"106","inverted",6,1
"106","inverted",4,1
"106","upright",5,1
"106","inverted",2,0
"106","upright",4,1
"106","inverted",2,0
"106","inverted",7,1
"106","inverted",7,1
"106","inverted",5,1
"106","upright",7,1
"106","inverted",6,1
"106","upright",3,1
"106","inverted",4,1
"106","inverted",6,1
"106","inverted",3,0
"106","upright",6,1
"106","upright",1,0
"106","upright",4,1
"106","upright",5,1
"106","inverted",1,0
"106","inverted",1,1
"106","upright",6,1
"106","upright",1,1
"106","inverted",3,0
"106","upright",4,1
"106","upright",3,1
"106","inverted",7,1
"106","inverted",3,1
"106","inverted",1,0
"106","upright",3,1
"106","upright",2,0
"106","inverted",2,1
"106","inverted",1,0
"106","inverted",6,1
"106","upright",6,1
"106","upright",6,1
"106","upright",7,1
"106","inverted",3,1
"106","inverted",7,1
"106","upright",5,1
"106","upright",4,1
"106","inverted",5,1
"106","inverted",2,1
"106","inverted",6,1
"106","inverted",6,1
"106","upright",7,1
"106","inverted",4,0
"106","upright",2,1
"106","inverted",7,1
"106","upright",4,1
"106","upright",5,1
"106","upright",2,1
"106","upright",7,1
"106","upright",1,0
"106","inverted",2,1
"106","inverted",5,0
"106","upright",3,1
"106","upright",5,1
"106","upright",1,0
"106","inverted",4,1
"106","inverted",1,1
"106","inverted",5,1
"106","inverted",4,1
"106","upright",5,1
"106","inverted",4,1
"106","inverted",3,1
"106","upright",7,1
"106","upright",7,1
"106","inverted",1,0
"106","inverted",7,1
"106","inverted",2,0
"106","inverted",3,1
"106","inverted",1,0
"106","inverted",2,1
"106","inverted",2,1
"106","upright",2,0
"106","inverted",5,1
"106","upright",4,1
"106","inverted",5,1
"106","inverted",1,1
"106","upright",3,1
"106","inverted",3,0
"106","upright",5,1
"106","upright",6,1
"106","upright",5,1
"106","inverted",6,1
"106","upright",2,1
"106","inverted",5,1
"106","inverted",4,1
"106","upright",7,1
"106","inverted",6,1
"106","upright",1,0
"106","upright",6,1
"106","inverted",7,1
"106","upright",3,1
"106","upright",1,0
"106","upright",4,1
"106","upright",6,1
"106","inverted",7,1
"106","inverted",4,1
"106","inverted",6,1
"106","upright",1,0
"106","upright",4,1
"106","upright",2,1
"106","upright",3,1
"106","inverted",2,0
"106","inverted",1,1
"106","inverted",2,1
"106","inverted",6,1
"106","inverted",5,0
"106","upright",7,1
"106","inverted",6,1
"106","inverted",7,1
"106","upright",4,1
"106","upright",5,1
"106","upright",4,1
"106","upright",2,1
"106","inverted",3,1
"106","upright",1,0
"106","upright",3,1
"106","upright",1,0
"106","upright",6,1
"106","upright",2,1
"106","inverted",2,1
"106","upright",6,1
"106","inverted",5,1
"106","upright",5,1
"106","upright",1,0
"106","inverted",4,1
"106","upright",5,1
"106","upright",7,1
"106","inverted",4,0
"106","inverted",1,0
"106","inverted",5,1
"106","upright",3,1
"106","inverted",3,1
"106","inverted",1,0
"106","inverted",7,1
"106","inverted",7,1
"106","inverted",3,1
"106","upright",4,1
"106","inverted",6,1
"106","upright",7,1
"106","inverted",4,1
"106","upright",2,0
"106","upright",6,1
"106","upright",3,1
"106","upright",7,1
"106","inverted",2,0
"106","inverted",3,1
"106","upright",2,0
"106","upright",4,1
"106","inverted",6,1
"106","upright",4,1
"106","inverted",5,0
"106","upright",2,1
"106","upright",7,1
"106","inverted",6,1
"106","inverted",3,1
"106","upright",5,1
"106","inverted",7,0
"106","inverted",7,1
"106","upright",6,1
"106","upright",2,1
"106","upright",5,1
"106","upright",5,1
"106","inverted",6,1
"106","upright",3,1
"106","inverted",2,1
"106","inverted",1,0
"106","upright",1,0
"106","upright",6,1
"106","upright",1,1
"106","upright",4,1
"106","upright",1,0
"106","inverted",5,1
"106","inverted",1,0
"106","inverted",4,0
"106","inverted",5,1
"106","inverted",7,1
"106","upright",3,1
"106","inverted",4,1
"106","inverted",3,1
"106","inverted",4,1
"106","upright",3,1
"106","upright",6,0
"106","upright",7,1
"106","inverted",2,0
"106","inverted",1,0
"106","upright",3,1
"106","inverted",6,1
"106","upright",6,1
"106","upright",4,1
"106","upright",6,1
"106","upright",7,1
"106","inverted",7,1
"106","inverted",2,0
"106","inverted",3,1
"106","upright",3,1
"106","inverted",1,0
"106","upright",5,1
"106","inverted",2,1
"106","upright",4,1
"106","upright",1,0
"106","inverted",2,1
"106","inverted",4,0
"106","upright",7,1
"106","inverted",5,0
"106","inverted",6,1
"106","inverted",1,0
"106","upright",5,1
"106","inverted",4,1
"106","upright",1,0
"106","upright",5,1
"106","inverted",7,1
"106","upright",2,1
"106","upright",7,1
"106","inverted",6,1
"106","inverted",3,0
"106","upright",2,0
"106","inverted",5,1
"106","upright",2,1
"106","inverted",4,1
"106","inverted",7,1
"106","inverted",5,1
"106","inverted",1,1
"106","upright",4,1
"106","upright",1,1
"106","inverted",3,1
"106","upright",3,1
"106","upright",6,1
"106","inverted",1,0
"106","upright",1,0
"106","upright",7,1
"106","upright",4,1
"106","upright",4,1
"106","inverted",2,1
"106","upright",5,1
"106","upright",3,1
"106","upright",7,1
"106","upright",6,1
"106","inverted",3,0
"106","inverted",3,1
"106","inverted",7,1
"106","upright",5,1
"106","upright",2,0
"106","upright",3,1
"106","inverted",2,0
"106","upright",5,1
"106","inverted",7,1
"106","inverted",4,1
"106","inverted",1,0
"106","inverted",5,1
"106","inverted",4,0
"106","inverted",6,1
"106","upright",6,1
"106","inverted",5,0
"106","inverted",5,1
"106","inverted",2,0
"106","upright",2,1
"106","upright",6,1
"106","upright",7,1
"106","inverted",3,1
"106","upright",4,1
"106","upright",3,0
"106","upright",2,1
"106","inverted",1,0
"106","upright",1,1
"106","inverted",4,1
"106","upright",1,1
"106","inverted",7,1
"106","inverted",6,1
"106","inverted",6,1
"106","inverted",7,0
"106","inverted",5,1
"106","inverted",4,1
"106","upright",5,1
"106","inverted",2,0
"106","upright",2,0
"106","upright",6,1
"106","inverted",3,1
"106","inverted",4,1
"106","inverted",3,0
"106","upright",7,1
"106","upright",3,1
"106","upright",6,1
"106","upright",3,1
"106","inverted",3,1
"106","upright",4,1
"106","inverted",7,1
"106","upright",2,1
"106","upright",1,0
"106","inverted",5,1
"106","upright",3,1
"106","inverted",1,0
"106","upright",1,0
"106","inverted",1,0
"106","inverted",7,1
"106","upright",4,1
"106","inverted",1,1
"106","inverted",5,1
"106","upright",7,1
"106","upright",1,1
"106","inverted",6,1
"106","inverted",4,0
"106","upright",7,1
"106","inverted",6,1
"106","inverted",2,1
"106","inverted",2,0
"106","upright",4,1
"106","upright",6,1
"106","upright",2,1
"106","upright",5,1
"106","inverted",6,1
"106","upright",5,1
"106","upright",6,1
"106","inverted",2,1
"106","upright",7,1
"106","upright",7,1
"106","inverted",2,1
"106","upright",6,1
"106","upright",3,1
"106","upright",2,1
"106","upright",5,1
"106","inverted",1,1
"106","inverted",7,1
"106","inverted",6,1
"106","inverted",7,1
"106","inverted",2,1
"106","upright",1,0
"106","upright",4,1
"106","inverted",6,1
"106","upright",4,1
"106","upright",5,1
"106","inverted",3,1
"106","inverted",6,0
"106","upright",3,1
"106","upright",3,1
"106","upright",4,1
"106","upright",7,1
"106","inverted",5,0
"106","upright",6,1
"106","inverted",4,1
"106","inverted",4,1
"106","inverted",4,1
"106","inverted",1,0
"106","upright",1,0
"106","inverted",5,1
"106","upright",1,1
"106","upright",5,1
"106","upright",2,1
"106","inverted",5,1
"106","inverted",1,0
"106","upright",2,0
"106","inverted",7,1
"106","inverted",3,1
"106","inverted",3,0
"106","upright",1,1
"106","inverted",1,1
"106","upright",1,0
"106","inverted",4,1
"106","upright",5,1
"106","inverted",4,1
"106","inverted",5,1
"106","upright",6,0
"106","upright",4,1
"106","inverted",5,0
"106","inverted",1,0
"106","upright",2,1
"106","upright",3,1
"106","inverted",4,1
"106","inverted",1,0
"106","inverted",6,1
"106","inverted",7,1
"106","upright",2,0
"106","upright",1,1
"106","upright",2,0
"106","upright",3,1
"106","upright",4,1
"106","upright",6,1
"106","inverted",7,1
"106","inverted",6,1
"106","inverted",5,1
"106","inverted",2,0
"106","inverted",2,1
"106","inverted",6,1
"106","inverted",3,1
"106","inverted",7,1
"106","upright",5,1
"106","inverted",3,1
"106","upright",7,1
"106","upright",6,1
"106","upright",7,1
"106","upright",4,1
"106","inverted",3,0
"106","upright",5,1
"106","upright",7,1
"106","inverted",2,1
"106","upright",3,1
"106","upright",5,1
"106","upright",6,1
"106","upright",7,1
"106","upright",4,1
"106","inverted",7,1
"106","inverted",3,0
"106","inverted",6,0
"106","inverted",6,1
"106","upright",1,0
"106","inverted",1,0
"106","upright",3,1
"106","inverted",5,1
"106","inverted",4,1
"106","inverted",6,1
"106","upright",7,1
"106","inverted",4,1
"106","upright",1,0
"106","upright",6,1
"106","inverted",3,1
"106","inverted",1,1
"106","inverted",7,1
"106","upright",2,1
"106","inverted",7,1
"106","inverted",1,1
"106","upright",3,1
"106","upright",2,0
"106","inverted",2,0
"106","upright",3,1
"106","inverted",2,0
"106","inverted",2,0
"106","upright",5,1
"106","upright",6,1
"106","inverted",5,1
"106","upright",1,1
"106","inverted",4,1
"106","upright",5,1
"106","upright",4,1
"106","inverted",5,1
"106","upright",4,1
"106","upright",2,0
"106","upright",7,1
"106","inverted",3,1
